"","exp","valence","arousal","dominance","liking","familiarity","VAQ"
"1216",40,3.8,6.2,7.5,3.5,1,4
"1217",32,2.6,6.5,4,1.5,1,4
"1218",22,6.3,3.7,6,6.4,1,3
"1219",11,8.6,3.2,3.1,8.9,1,2
"1220",5,6.5,6.9,3.8,7.4,4,1
"1221",39,2.1,8,2.8,1,2,4
"1222",13,7.9,2.3,7.5,6.9,2,2
"1223",12,8,2.1,7.7,7.6,2,2
"1224",20,9,1,9,9,5,2
"1225",36,4,6.7,3.7,3.3,2,4
"1226",33,3.5,6.6,4.3,3.5,2,4
"1227",4,9,7.6,9,9,5,1
"1228",27,6.2,1,9,5.8,4,3
"1229",2,6,6,7.7,4.1,2,1
"1230",21,3.7,4,7.6,3.4,2,3
"1231",7,7.9,7,7.7,9,5,1
"1232",26,4,2.4,7.7,8.9,5,3
"1233",30,1.9,6,2.7,7.1,5,3
"1234",23,2.6,2.9,6.7,7.4,5,3
"1235",18,7.3,1,9,9,5,2
"1236",19,9,7.3,7.4,8.9,5,2
"1237",8,7.9,6.8,7.2,9,5,1
"1238",6,7.9,7.1,6.6,7.8,5,1
"1239",14,9,2.4,9,8.9,5,2
"1240",1,7.3,7,7.2,9,5,1
"1241",34,4.1,6,3.8,3.4,2,4
"1242",31,1,5.5,2.7,1,2,4
"1243",32,2.2,5.4,3.8,1,5,4
"1244",37,1.5,7.5,1.8,1,2,4
"1245",27,6,2.1,1.8,9,3,3
"1246",31,1,3.2,4.1,1,1,4
"1247",19,8,5.1,4.3,8.1,2,2
"1248",1,7.9,5.6,6.2,6.1,1,1
"1249",29,3.1,4.1,2.3,6.7,4,3
"1250",22,2.6,2.3,5,3.5,1,3
"1251",9,7,7.3,3.7,7.8,2,1
"1252",39,1,7.2,1.7,1,1,4
"1253",24,1,6.3,1,9,5,3
"1254",6,9,7.9,3.7,9,1,1
"1255",7,6.9,6.9,4.2,5,1,1
"1256",5,5,5,9,2.9,1,1
"1257",4,6,6,5.7,4,1,1
"1258",23,2.5,4.4,3,3.8,2,3
"1259",36,3,7.2,3.8,4.7,1,4
"1260",30,3.6,3.7,2.3,6.4,2,3
"1261",25,3.7,1.4,2.3,6.9,1,3
"1262",34,4,8.3,3.6,3.3,1,4
"1263",3,7.8,8.3,3.3,8.1,3,1
"1264",14,9,1,2.8,9,3,2
"1265",13,6.9,1.5,4,7,1,2
"1266",8,5.7,5.7,7.2,4.9,1,1
"1267",12,5,4,4.7,5,1,2
"1268",21,2.7,2.6,3.3,3.5,1,3
"1269",15,6,3,4.4,6.6,1,2
"1270",2,5,6.1,6.1,3.5,1,1
"1271",20,9,7.1,1.7,9,5,2
"1272",38,3.1,7.4,9,1,1,4
"1273",17,5,4,5,1,1,2
"1274",10,5,5.9,6.5,3.1,1,1
"1275",28,4,2.1,3.8,3.2,1,3
"1276",18,9,1,1,9,5,2
"1277",32,3.4,5.5,6.9,2.8,1,4
"1278",37,1,6.6,2.7,1,1,4
"1279",40,3.3,5.9,6.6,2.2,1,4
"1280",26,3.5,3.4,5,5,1,3
"1281",33,5,5.5,6.9,3.6,1,4
"1282",11,9,7.1,1.7,9,1,2
"1283",31,1.7,6.4,6.7,1.7,1,4
"1284",34,3.3,6,6.8,2.7,1,4
"1285",7,7.8,6.7,6.4,8.1,1,1
"1286",29,3.9,6,6.4,3.7,1,3
"1287",14,5.7,5,6.6,6.6,1,2
"1288",28,4.1,3.5,7.5,6.3,1,3
"1289",5,5.8,6.6,6.7,3.8,1,1
"1290",17,5.8,6.1,7.7,5.8,1,2
"1291",6,7.2,7,6.9,7.4,1,1
"1292",38,1.5,6.1,4.1,1.3,1,4
"1293",4,7.1,7.1,6.7,6.7,1,1
"1294",32,3.3,5.6,6.3,2.4,1,4
"1295",8,7.3,6.1,6.5,7.5,1,1
"1296",25,5.3,3,6.5,6,1,3
"1297",13,7.4,4.1,6.8,6.6,1,2
"1298",39,2.9,7.6,4.2,3.2,1,4
"1299",27,6.4,6,6.1,5.9,3,3
"1300",33,4,6.7,6.3,4.2,1,4
"1301",26,6.3,2.3,5.7,5.9,1,3
"1302",23,3.3,6.3,3.8,3.6,3,3
"1303",21,3.5,4.1,6,3.7,1,3
"1304",2,6.3,7.1,6.4,6.3,4,1
"1305",1,7,7.1,6.5,7.1,1,1
"1306",20,8.2,7.9,3.4,8.3,5,2
"1307",37,1.8,6.5,4,1.3,1,4
"1308",18,6.3,4.6,6.5,6.4,1,2
"1309",40,3.5,6.4,6.4,3.5,1,4
"1310",10,4.3,6.4,4,4.1,1,1
"1311",12,7.3,6.6,6.6,7.4,2,2
"1312",36,4,6.2,3.9,6,4,4
"1313",9,6.4,6.1,6.1,5.7,1,1
"1314",11,7.1,6.3,6.2,7.3,2,2
"1315",15,6.2,3,5.7,6.4,2,2
"1316",19,6.9,6.5,6.6,7,1,2
"1317",24,3.5,5.7,6.7,6.7,1,3
"1318",30,2.8,5.5,3.1,6.3,5,3
"1319",22,4.3,4.3,4.4,5,1,3
"1320",3,7.6,5.9,5.7,7.3,3,1
"1321",33,1.5,8.3,2.8,1.6,1,4
"1322",23,4.4,4.3,8,3.8,1,3
"1323",9,6.8,6,5.8,8.1,5,1
"1324",39,2.1,6.8,4.1,1.6,1,4
"1325",5,6.8,7.5,7.9,7.5,4,1
"1326",11,7.4,5.4,8.3,6.6,3,2
"1327",1,6.7,3.9,8.2,6.3,5,1
"1328",31,2.8,4.5,6.5,2.2,1,4
"1329",37,2.3,5.7,3.8,1.8,1,4
"1330",24,3,3.3,7.7,5.9,4,3
"1331",8,7.1,5.8,7.8,7,5,1
"1332",4,7.4,5.8,7.6,7.1,5,1
"1333",28,3.5,2.8,8.4,2.9,1,3
"1334",12,5.8,2.9,7.5,5.8,1,2
"1335",13,6.4,3.2,7.9,6.1,1,2
"1336",30,3.1,3.5,7,4.1,1,3
"1337",25,3.7,2.2,7.5,3.4,1,3
"1338",40,2.7,6.9,3.9,3.1,1,4
"1339",10,5.8,4.5,6.7,5.7,1,1
"1340",21,3,3.2,3.6,3.5,1,3
"1341",22,3.6,2.4,6.8,3.1,1,3
"1342",14,8.3,5.9,8.4,8,5,2
"1343",34,3.2,7,2.7,3,1,4
"1344",32,2.3,6.2,3.3,1.5,1,4
"1345",18,6.8,3.4,7.3,7.4,5,2
"1346",6,7.3,6.6,7.1,7.4,1,1
"1347",2,2.8,6.2,3,3.3,1,1
"1348",38,2.5,7.5,2,1.3,1,4
"1349",29,2.5,2.4,1.7,6.7,1,3
"1350",27,6.4,2.1,6.9,6.3,2,3
"1351",3,7,7.2,3,7.8,5,1
"1352",15,5,1.8,7.5,4,1,2
"1353",36,2.5,7.1,1.7,2.7,1,4
"1354",17,5,2.1,7.4,2.4,1,2
"1355",19,7.3,6,7.1,7.5,5,2
"1356",26,4.2,1.5,6.8,3.5,1,3
"1357",20,7.7,6.1,3.4,8,5,2
"1358",7,3.2,6.3,3.2,2.4,4,1
"1359",9,5.5,5.1,5.7,6.9,1,1
"1360",24,8.7,4.9,6.5,9,5,3
"1361",36,2.9,7.1,8.9,1,1,4
"1362",12,7,4.9,4.5,7,3,2
"1363",6,5,4.9,4.6,1,5,1
"1364",25,7.1,3.1,4.5,6.9,5,3
"1365",19,8.9,7.1,6.8,9,5,2
"1366",21,1.3,1.1,2.5,1,1,3
"1367",2,1,7.1,6.8,1,1,1
"1368",8,5.2,3.1,2.6,5.1,3,1
"1369",4,3,6.1,6.6,1,1,1
"1370",29,4.9,1.2,2.4,6.8,5,3
"1371",37,1,7,8.9,1,1,4
"1372",17,5,1.3,1.3,4.8,1,2
"1373",18,8.6,3.1,2.7,9,5,2
"1374",33,1,9,9,1,1,4
"1375",27,5.9,1.3,2.8,6.9,5,3
"1376",7,5.2,3.8,4.6,5.1,5,1
"1377",31,1,6,6.9,1,5,4
"1378",26,5,1.3,2.4,4.1,1,3
"1379",23,4.7,3.1,5.8,5.2,5,3
"1380",39,1,9,9,1,1,4
"1381",14,7,4.2,2.8,9,5,2
"1382",13,6.9,1.3,2.8,5,3,2
"1383",34,2.7,7,6.7,1.4,2,4
"1384",32,1,9,9,1,5,4
"1385",15,4.8,1,1,2.4,1,2
"1386",10,3.9,5,4.6,2.4,1,1
"1387",28,4.9,1,1.2,2.4,1,3
"1388",40,1,8.8,6.8,1,1,4
"1389",38,1.2,7.1,6.8,1,1,4
"1390",1,3,5.1,5,1.6,5,1
"1391",20,7,4.2,6.5,9,5,2
"1392",11,7.1,5.1,5.7,7.5,5,2
"1393",22,5,1,1,1.4,3,3
"1394",5,4,4.6,5.7,1,5,1
"1395",30,5,4.5,5,6.4,5,3
"1396",3,4.8,2.7,2.6,2.7,5,1
"1397",6,5,3.1,1.4,2.5,1,1
"1398",36,6.4,5.5,3.4,6.1,1,4
"1399",24,3.1,2.9,7.6,8.9,5,3
"1400",5,5.1,6,6.5,7.4,1,1
"1401",21,5.1,2,1.2,5.1,1,3
"1402",18,9,6.5,6.6,8.4,5,2
"1403",11,9,7.9,6.1,9,1,2
"1404",8,5.6,6.5,6.7,7.2,1,1
"1405",3,9,4.4,6.2,6.9,1,1
"1406",25,3.1,2,3.7,5,1,3
"1407",29,1.5,8,6.9,9,5,3
"1408",40,5,3.2,2.6,5,1,4
"1409",4,7.9,6.2,3.7,6.3,1,1
"1410",37,1,7.7,7.6,1,1,4
"1411",27,7,6,3.7,8.1,3,3
"1412",14,5,1,3.7,5,1,2
"1413",12,8.2,1.3,4,9,1,2
"1414",31,1.4,1.4,2,1,1,4
"1415",38,1,3.3,5.6,2.5,1,4
"1416",2,7,3.6,3.6,6.1,1,1
"1417",33,2.4,5,3.6,1.6,1,4
"1418",13,5,1,2.2,5,1,2
"1419",32,2.7,3.7,1.9,2.3,1,4
"1420",23,1,5.4,3.5,5,1,3
"1421",39,1,6.3,8.4,1,1,4
"1422",34,8.2,8.3,5.5,8.7,1,4
"1423",30,5.3,6.4,8.1,7.9,4,3
"1424",9,8,2.2,6.6,8.4,3,1
"1425",15,8.4,1,6.7,9,1,2
"1426",19,9,4,7,9,3,2
"1427",7,9,8.2,6.8,9,4,1
"1428",26,5,1.3,4,6.2,1,3
"1429",10,7.3,2.1,5.6,8.5,1,1
"1430",22,7.2,1.5,5.8,6.9,1,3
"1431",20,7.3,2,8,9,5,2
"1432",28,3.2,2.1,7.2,8,1,3
"1433",17,5,1,1,3.3,1,2
"1434",1,9,6.6,3.7,9,1,1
"1435",5,7.9,6.6,9,7,5,1
"1436",28,3.5,2.6,9,1.9,1,3
"1437",26,3.8,2.5,9,1.3,1,3
"1438",18,9,6.4,6.5,9,5,2
"1439",3,9,6.4,6.7,9,5,1
"1440",10,5,5.4,8.5,3.7,1,1
"1441",15,6.1,3.4,7,3.7,2,2
"1442",29,4,3.6,8.4,5,3,3
"1443",1,7,6.4,7.3,6.1,4,1
"1444",17,7.9,1.4,5.1,7.7,5,2
"1445",30,1.5,5.6,3.8,1.7,1,3
"1446",34,5.9,7.2,4.3,4.5,5,4
"1447",39,2.6,4.4,8.6,1,2,4
"1448",12,6.9,2.5,8.1,6.2,1,2
"1449",38,3.5,4.6,5.9,1,1,4
"1450",24,4,3.6,3.2,4.1,2,3
"1451",23,2.7,3.2,9,2,1,3
"1452",8,6.1,5,7.7,5.8,4,1
"1453",9,6.3,5.6,7.4,6.9,4,1
"1454",11,7.7,3.6,6.8,7.3,1,2
"1455",2,5,2.9,9,3.4,1,1
"1456",21,3.8,4,8.2,3,1,3
"1457",37,1.8,5.5,7.3,1,1,4
"1458",4,8,7.2,7.9,7.9,4,1
"1459",20,7.9,4,7.5,7.4,3,2
"1460",13,6.7,2.9,8.1,5.8,4,2
"1461",31,3,3.1,8.2,1,1,4
"1462",27,5,3.2,9,3.7,1,3
"1463",32,3.1,5,7.1,1,1,4
"1464",33,2.7,4.5,8.7,1,1,4
"1465",22,4.1,4,9,2,1,3
"1466",40,2.9,3.7,9,1,1,4
"1467",7,6.8,6.9,7.8,7.3,5,1
"1468",25,4.9,2.7,9,4.1,1,3
"1469",6,5.9,4.7,9,3.4,1,1
"1470",36,2.8,4.1,9,1,1,4
"1471",14,6.9,3.6,7,6.6,5,2
"1472",19,8.2,6.5,7.3,8.2,5,2
"1473",13,6.9,3,6.8,8.1,4,2
"1474",19,8.4,3.7,5.8,8.4,5,2
"1475",34,3.7,5.6,4,4.2,2,4
"1476",33,3.7,6.5,3.8,3,2,4
"1477",9,8,3.8,6.8,7.7,5,1
"1478",39,1.4,6.4,3,1,1,4
"1479",38,1,6,3.7,1,1,4
"1480",10,3.5,3.6,6.5,3.5,1,1
"1481",6,2.1,2.9,5.7,1,5,1
"1482",29,4.2,2,7.4,5.4,4,3
"1483",3,6.7,3,7.3,5.9,4,1
"1484",17,5,2.3,6.9,5,3,2
"1485",28,5.6,1.9,4.2,7.4,5,3
"1486",24,6.1,3,4.6,7.2,5,3
"1487",36,1.8,6.5,4.1,1,1,4
"1488",22,7.1,2.8,7.3,7.7,4,3
"1489",4,7.8,4.1,7.2,7.8,5,1
"1490",37,1,5.5,2.8,1,1,4
"1491",23,3,3.1,3.6,3.6,2,3
"1492",32,3.1,5.5,3.6,1,1,4
"1493",26,7,2.3,6.9,7.7,4,3
"1494",14,8.3,2.3,6.8,9,5,2
"1495",12,8.4,1.4,5.5,9,5,2
"1496",8,8.4,3.7,5.2,8.2,5,1
"1497",1,8.7,3.1,5.2,9,5,1
"1498",25,5,1.5,7.5,6.7,3,3
"1499",27,5.7,2,7,6.6,3,3
"1500",15,6.8,1.7,6.6,7.7,3,2
"1501",21,5,1.3,6.1,6.2,3,3
"1502",40,2.1,4,6.7,1,1,4
"1503",2,2.6,5.8,6.2,1,1,1
"1504",5,6.4,3.2,6.4,7,4,1
"1505",11,8,2.5,6.7,9,5,2
"1506",18,7.8,1.2,6.8,8.3,5,2
"1507",31,1.3,5.6,6,1,1,4
"1508",30,1.2,1.1,1.6,1,5,3
"1509",20,6.6,1.4,7.9,7.4,4,2
"1510",7,1,1.1,8.5,1,5,1
"1511",39,4,7.5,4.8,2,1,4
"1512",8,5.9,3.5,9,5.1,5,1
"1513",31,5,5.9,9,4.4,1,4
"1514",11,6.4,3,9,6.8,2,2
"1515",32,3.9,4.2,7.1,4.3,1,4
"1516",27,5,2.4,8.9,5.6,2,3
"1517",10,6.2,6.6,9,7.3,3,1
"1518",37,3.9,5.5,6.7,2,1,4
"1519",22,5,2.1,9,6.1,1,3
"1520",38,4,5.5,8.5,3.6,1,4
"1521",23,3.9,3.2,9,6.1,1,3
"1522",29,4.4,3.1,9,5,1,3
"1523",28,5.5,2.1,9,7.8,2,3
"1524",26,7,1.3,9,7.4,1,3
"1525",36,3.6,6.7,8.5,3.8,1,4
"1526",30,5.2,1.5,9,9,4,3
"1527",13,7.3,3.4,9,7.7,1,2
"1528",9,7.3,6.8,9,9,5,1
"1529",17,6.7,2.3,9,8,2,2
"1530",40,3.8,5.7,9,3.6,1,4
"1531",19,7.6,5.8,9,9,5,2
"1532",21,3.9,6.5,7.6,5.8,2,3
"1533",4,6.7,5.9,9,6,1,1
"1534",24,6.4,6.4,9,7.4,5,3
"1535",7,6.4,6.2,9,8,5,1
"1536",15,6.5,2.7,9,6.6,1,2
"1537",34,4.4,6.9,9,5.5,3,4
"1538",5,6.4,6.2,9,9,5,1
"1539",14,8,3.6,9,9,5,2
"1540",25,6.1,3.8,9,9,3,3
"1541",18,6.6,3.2,9,7.7,5,2
"1542",12,6.8,1.8,8.9,8.3,2,2
"1543",33,4.4,5.9,8.5,3.6,1,4
"1544",2,6.9,6.7,9,9,5,1
"1545",20,6.7,5.9,9,9,5,2
"1546",3,7.6,6,9,9,5,1
"1547",6,7.6,5.6,9,9,5,1
"1548",1,6.5,5.4,9,9,5,1
"1549",8,7.2,6,3.9,7.1,5,1
"1550",28,4,2.6,7.7,3.8,1,3
"1551",15,5.9,2.8,7.5,5.8,1,2
"1552",30,2.4,4.1,5.6,6.8,3,3
"1553",10,7.6,7.6,3.4,9,5,1
"1554",39,1.5,7.9,2.3,3,1,4
"1555",32,3.2,6,5.7,6.5,2,4
"1556",26,7,1.8,6,6.7,1,3
"1557",1,8.1,5.4,6.6,8,5,1
"1558",37,1,7.5,1.9,1,1,4
"1559",29,9,3.3,5,3.5,1,3
"1560",23,2.2,3.2,3.8,3.9,2,3
"1561",31,3.9,2.9,8.6,2,1,4
"1562",36,4.5,2.4,9,1.1,1,4
"1563",34,2.7,2.3,9,2.9,1,4
"1564",18,7.2,4.4,4.5,7.8,5,2
"1565",33,3.5,5.5,6.8,2.4,1,4
"1566",38,2.2,3.1,4.1,1.6,1,4
"1567",14,7.4,5.7,3.7,7.7,5,2
"1568",22,5.5,3.1,7.6,5.9,1,3
"1569",19,8,3.3,3.3,6.9,5,2
"1570",25,5,3,9,3.3,1,3
"1571",2,8.9,5.8,3.8,8.7,5,1
"1572",13,7.3,4,2.8,7,1,2
"1573",20,7.8,6.9,3.3,6.5,3,2
"1574",11,8.3,6.2,3.8,6.8,4,2
"1575",6,6.8,6.5,5.6,7.5,4,1
"1576",17,4.3,2.5,6.7,6.6,3,2
"1577",3,6,5,7.4,6.5,5,1
"1578",27,5,2.5,8.6,3.6,2,3
"1579",4,7.9,7.5,3.8,7.7,5,1
"1580",12,6.3,3,5,5.8,1,2
"1581",21,5,4.1,5,3.6,1,3
"1582",40,2.9,6.1,4.2,2.7,1,4
"1583",9,6.7,4,6.7,7.2,5,1
"1584",7,7.1,7.6,3.3,7.5,5,1
"1585",24,3.8,2.9,6.3,4.1,5,3
"1586",5,7.7,7,5,6.8,5,1
"1587",7,7.2,6.4,9,7.2,5,1
"1588",17,5,3.2,9,3.4,1,2
"1589",34,4.3,5.8,7.5,2.3,1,4
"1590",30,3.4,1.8,3.2,4.1,3,3
"1591",14,7.5,6.9,5.9,8.1,5,2
"1592",11,7.4,5.8,5.1,6.1,1,2
"1593",6,5.8,5.7,9,5.1,1,1
"1594",40,5,5.4,5,3.4,1,4
"1595",36,2.8,5,5,1,1,4
"1596",31,3.4,5.9,3.9,1,1,4
"1597",19,7.4,6.2,4.9,7.3,5,2
"1598",15,4.4,3.6,5,3.2,1,2
"1599",10,5.7,4.9,5.1,6.7,1,1
"1600",1,5.1,5.3,9,3.1,1,1
"1601",24,4.1,8.8,2.6,8.2,5,3
"1602",9,8,6.9,3.3,9,5,1
"1603",29,4.1,3.5,9,7.1,5,3
"1604",28,4.5,1,4.3,9,1,3
"1605",20,6.8,3.5,9,5.5,3,2
"1606",39,1,9,2,1,1,4
"1607",26,6.3,1.9,3.4,5.6,1,3
"1608",23,2.8,6.9,4.5,1,1,3
"1609",21,3.7,2.6,9,1,1,3
"1610",4,7.8,6.8,8.4,9,5,1
"1611",13,5.6,2.6,4.2,7.8,1,2
"1612",5,7.7,6.2,3.9,8.4,5,1
"1613",38,1,7.2,1,1,1,4
"1614",33,2.9,5.8,3.8,1,1,4
"1615",18,7.6,3.4,9,7.6,5,2
"1616",3,7.7,6.6,4.3,9,5,1
"1617",2,3.8,5.9,8.7,2.5,4,1
"1618",12,9,2.3,3,7.3,1,2
"1619",27,5.4,2.5,6.2,5,3,3
"1620",37,1,9,1,1,1,4
"1621",22,5.2,3.5,7.6,3.1,1,3
"1622",32,1,6.6,2.3,1,1,4
"1623",25,6.1,2.3,3.7,4.2,1,3
"1624",8,9,7.6,3.4,9,5,1
"1625",12,7.4,5.8,5.5,8.2,2,2
"1626",27,4.8,4.2,7.9,4,2,3
"1627",31,4.2,6.1,7.4,6.5,2,4
"1628",10,7,8,3,8.4,5,1
"1629",9,7.6,6,3.7,7.8,5,1
"1630",21,3.3,2.2,4.8,2.7,3,3
"1631",19,8.3,7.9,3.5,7.9,5,2
"1632",40,3.7,3.3,7.7,3.5,2,4
"1633",28,4.1,3.1,7,3.7,2,3
"1634",13,7,5.7,6.6,7.2,4,2
"1635",39,4.3,3.4,7,3.2,2,4
"1636",26,3.7,2.7,6.8,3.2,2,3
"1637",2,6.9,5.7,4.1,7,4,1
"1638",24,4.1,3.5,4.1,6.1,3,3
"1639",32,3.2,3.5,6.1,3.5,4,4
"1640",18,7.7,4.1,3.6,8.4,5,2
"1641",7,8.1,7.8,3.1,7.6,5,1
"1642",25,3.9,3.5,6.6,5.7,2,3
"1643",37,3.3,3.2,7.1,2.8,3,4
"1644",11,8,6.9,3.6,7.7,3,2
"1645",30,2.8,4.3,6.1,5.8,5,3
"1646",14,7.9,7.2,3.3,8.1,5,2
"1647",23,2.7,3,6.6,3.6,1,3
"1648",20,4.5,4.1,7.2,2.6,2,2
"1649",3,6.9,6.6,3.8,6.9,5,1
"1650",8,8.1,7.6,2.9,8,5,1
"1651",17,4.5,6.3,6.8,6.4,3,2
"1652",34,3.2,5.3,5.6,3.2,2,4
"1653",29,3.8,5.3,4.1,2.4,3,3
"1654",38,3,3.7,5.7,3.3,1,4
"1655",36,2.8,6.5,3.7,2.1,2,4
"1656",6,8.5,8.3,2.1,8.5,5,1
"1657",22,3.9,3.2,5.8,5.2,1,3
"1658",5,8.9,8.8,1.8,8.8,5,1
"1659",15,4.4,1.9,7.4,2.8,2,2
"1660",33,3.8,3.6,7.5,3,2,4
"1661",1,8.8,8.2,2.3,8.6,5,1
"1662",4,7.8,3.6,4.1,6.5,5,1
"1663",4,7.9,6.2,8.3,8.1,5,1
"1664",14,8.3,4.3,6.7,7.3,5,2
"1665",17,6.8,4.1,7.7,6.5,4,2
"1666",30,2,8.1,1.8,2.5,2,3
"1667",10,3.9,6,3.6,3.2,1,1
"1668",21,5,5,3.9,4.2,1,3
"1669",23,3,7,3.4,2.9,1,3
"1670",26,7,2.1,6.7,7.4,1,3
"1671",32,3,5.7,3.5,1.8,1,4
"1672",27,6.2,4.2,8.3,5,2,3
"1673",38,1,8.9,1,1,1,4
"1674",31,1.9,6.9,3.7,1,1,4
"1675",7,7.1,6.7,6.7,6.1,4,1
"1676",37,1,7.9,1,1,1,4
"1677",9,9,6.1,8.5,9,5,1
"1678",19,9,5.8,8.9,8.9,5,2
"1679",34,3.6,7.1,3.5,1.8,1,4
"1680",39,1.1,9,1,1,1,4
"1681",15,6,2.1,7.4,6.7,1,2
"1682",24,7.3,3.6,3.9,8,4,3
"1683",36,3.1,5.7,7,2.5,1,4
"1684",5,8.2,6.1,7.6,8.5,5,1
"1685",18,8.9,6.8,3.7,8,4,2
"1686",40,3.5,6.5,3.8,2.4,1,4
"1687",13,7.1,2.9,6.8,6.7,4,2
"1688",28,6.7,2.4,1.9,8.5,5,3
"1689",2,6.2,6.3,6.5,5.7,2,1
"1690",25,5.9,2.9,8.4,6,1,3
"1691",8,8.1,5.8,3.3,8.4,5,1
"1692",20,6.1,5.8,6.9,6.6,5,2
"1693",33,2.2,7.2,2.7,2.1,1,4
"1694",12,7.8,3.1,7.6,7.6,1,2
"1695",22,5,5,8.4,5.5,1,3
"1696",6,6.7,5.8,6.7,7.6,4,1
"1697",11,8.9,6.9,2.6,8.9,3,2
"1698",1,7.9,7.2,3.6,8.3,5,1
"1699",29,3.1,7,2.5,7,4,3
"1700",3,7,7,6.7,7.1,5,1
"1701",40,2.1,8.1,2.1,1.7,1,4
"1702",19,6.8,5.1,4.8,6.1,4,2
"1703",31,1.2,5.8,3.9,1.4,1,4
"1704",3,5.2,4,8.1,2.9,2,1
"1705",39,1,8,2.7,1,1,4
"1706",11,8.5,6.2,3.8,8.1,1,2
"1707",23,3.2,5,5.8,2.9,2,3
"1708",36,2.5,5.9,3.8,2.7,1,4
"1709",9,8.9,5.1,7.4,8.7,3,1
"1710",14,6,3.1,6.6,6.4,2,2
"1711",34,3.2,5.7,4.7,2.6,1,4
"1712",25,5.8,1.9,5.6,5.5,1,3
"1713",32,3.1,7.3,2.8,1.9,3,4
"1714",20,5,2,8.3,3.4,1,2
"1715",27,8.5,3.4,2.9,9,4,3
"1716",18,8.8,2.6,3.1,9,3,2
"1717",37,1,8.4,1.8,1,1,4
"1718",15,5,3.5,8.3,5.4,1,2
"1719",17,6.8,2.2,6.7,6.1,2,2
"1720",12,7.2,2.3,7.5,6.1,1,2
"1721",24,4.8,5.9,4.6,5.1,1,3
"1722",30,1.4,6,4.2,4.8,3,3
"1723",21,4.6,4.4,4.4,6.1,1,3
"1724",26,7.9,2.2,4.5,8,2,3
"1725",38,1.1,5.5,5.6,1.4,1,4
"1726",2,5,5,5,4.4,1,1
"1727",22,5,4.2,6.1,5,1,3
"1728",29,5.1,3.1,4.7,4.9,2,3
"1729",8,7.5,5,5,6.7,1,1
"1730",28,4.1,3,2.6,5.7,2,3
"1731",6,5.5,5.3,4.7,5.3,2,1
"1732",1,6.9,7.3,4.4,7.1,1,1
"1733",7,5,6.9,4.1,5.6,2,1
"1734",10,4,5.9,3.9,5,1,1
"1735",33,4.2,5.6,4.8,3.3,1,4
"1736",13,6.4,3.1,4.6,6.4,1,2
"1737",4,8.7,8.4,3.8,8.3,4,1
"1738",5,4.6,5.6,3.9,4.8,3,1
"1739",32,3,6,4.3,1,1,4
"1740",14,8.4,3.3,4.6,8.5,1,2
"1741",5,5,4.6,4.7,1,1,1
"1742",20,7.2,5.5,3.9,7.8,2,2
"1743",13,7.7,3.7,3.5,7.2,1,2
"1744",27,5,1.9,5.6,5,1,3
"1745",34,1,6.4,3.2,1,1,4
"1746",2,5,4.3,4.4,3.2,1,1
"1747",37,1,7.8,1.6,1,1,4
"1748",10,5,2.2,7.9,1,1,1
"1749",26,3.2,4.2,3.4,6,1,3
"1750",17,5,2.1,8.4,1.3,1,2
"1751",22,5.5,6.2,4.5,5.5,1,3
"1752",36,3.6,6.7,4.1,1.9,1,4
"1753",38,1.5,6.4,2.9,1,1,4
"1754",23,2.2,5.8,3.4,2.9,1,3
"1755",3,7.2,6.7,3.6,6.9,1,1
"1756",33,4.9,7.2,4.3,1,1,4
"1757",30,1.4,6,2.8,8.4,2,3
"1758",28,5,4.6,7.5,2.6,1,3
"1759",19,5.4,4.1,6.3,5,1,2
"1760",4,5,5.3,7.6,4.4,1,1
"1761",7,6.5,6.4,6.9,6.2,1,1
"1762",31,4,6.7,4.6,4.5,1,4
"1763",6,7.9,7.2,3.6,7.3,1,1
"1764",12,8.7,8.4,2,8.7,1,2
"1765",11,8.3,7.5,3.3,8,1,2
"1766",25,5.5,4.5,4.5,5.5,1,3
"1767",9,7.3,6.6,4.5,6.6,1,1
"1768",40,5,5,8.6,1,1,4
"1769",18,8.7,8.5,1.7,8.6,5,2
"1770",24,3.1,3.6,4,7,1,3
"1771",21,3.1,5.7,3.6,7.7,4,3
"1772",39,1,8.1,6.7,1,1,4
"1773",15,7.3,4.1,4,5.2,1,2
"1774",1,5.6,4.7,7.7,3.5,1,1
"1775",29,4.3,4.8,4.7,4.7,1,3
"1776",8,8.5,4.3,4.7,5.2,1,1
